"FIPS","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Geographic Identifier","Tribal Tract","Tribal Block Group","Area (Land)","Area (Water)","Total Population","Total Population","Population Density (Per Sq. Mile)","Area (Land)","Total Population:","Total Population: Male","Total Population: Female","Total Population:","Total Population: Under 5 Years","Total Population: 5 to 9 Years","Total Population: 10 to 14 Years","Total Population: 15 to 17 Years","Total Population: 18 to 24 Years","Total Population: 25 to 34 Years","Total Population: 35 to 44 Years","Total Population: 45 to 54 Years","Total Population: 55 to 64 Years","Total Population: 65 to 74 Years","Total Population: 75 to 84 Years","Total Population: 85 Years and Over","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","Households:","Households: Family Households","Households: Family Households: Married-Couple Family","Households: Family Households: Other Family","Households: Family Households: Other Family: Male Householder, No Wife Present","Households: Family Households: Other Family: Female Householder, No Husband Present","Households: Nonfamily Households","Households: Nonfamily Households: Male Householder","Households: Nonfamily Households: Female Householder","Median Household Income (In 2017 Inflation Adjusted Dollars)","Housing Units","Occupied Housing Units:","Occupied Housing Units: Owner Occupied","Occupied Housing Units: Renter Occupied","Population for Whom Poverty Status Is Determined:","Population for Whom Poverty Status Is Determined: Under 1.00 (Doing Poorly)","Population for Whom Poverty Status Is Determined: 1.00 to 1.99 (Struggling)","Population for Whom Poverty Status Is Determined: Under 2.00 (Poor or Struggling)","Population for Whom Poverty Status Is Determined: 2.00 and Over (Doing Ok)"
"06017030807","Census Tract 308.07, El Dorado County, California","Census Tract 308.07, El Dorado County, California","ca","140","00","ACSSF","0003370",,,,,"06","017",,,,"030807",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017030807",,,"4812642","0",4280,4280,2303.34,1.85817154365194,4280,2340,1940,4280,213,187,326,171,377,638,506,673,691,277,186,35,4280,3972,33,0,86,0,27,162,1409,1066,782,284,99,185,343,158,185,100469,1450,1409,1121,288,4270,255,258,513,3757
"06017030808","Census Tract 308.08, El Dorado County, California","Census Tract 308.08, El Dorado County, California","ca","140","00","ACSSF","0003371",,,,,"06","017",,,,"030808",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017030808",,,"5775635","49540",6529,6529,2927.822,2.22998523545283,6529,3500,3029,6529,547,403,422,227,558,307,806,1226,972,782,171,108,6529,5361,71,0,228,0,448,421,2319,1795,1551,244,27,217,524,278,246,97813,2359,2319,1935,384,6529,241,500,741,5788
"06017030809","Census Tract 308.09, El Dorado County, California","Census Tract 308.09, El Dorado County, California","ca","140","00","ACSSF","0003372",,,,,"06","017",,,,"030809",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017030809",,,"2206529","0",2569,2569,3015.451,0.851945646080214,2569,1328,1241,2569,116,135,173,183,247,322,179,381,397,248,86,102,2569,2319,27,30,34,0,24,135,869,580,401,179,63,116,289,129,160,77212,957,869,635,234,2557,353,153,506,2051
"06017030810","Census Tract 308.10, El Dorado County, California","Census Tract 308.10, El Dorado County, California","ca","140","00","ACSSF","0003373",,,,,"06","017",,,,"030810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017030810",,,"2541867","148357",3819,3819,3891.299,0.981420377237269,3819,1754,2065,3819,171,152,346,184,437,637,399,514,396,282,230,71,3819,3468,0,13,123,0,16,199,1354,988,586,402,56,346,366,172,194,50893,1401,1354,760,594,3819,1005,787,1792,2027
"06017030901","Census Tract 309.01, El Dorado County, California","Census Tract 309.01, El Dorado County, California","ca","140","00","ACSSF","0003374",,,,,"06","017",,,,"030901",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017030901",,,"64933945","0",3242,3242,129.312,25.071137009129,3242,1599,1643,3242,152,153,184,67,216,226,289,519,661,546,149,80,3242,3001,1,93,92,0,0,55,1223,909,820,89,26,63,314,107,207,86571,1291,1223,1051,172,3242,136,294,430,2812
"06017030902","Census Tract 309.02, El Dorado County, California","Census Tract 309.02, El Dorado County, California","ca","140","00","ACSSF","0003375",,,,,"06","017",,,,"030902",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017030902",,,"50582203","248443",4750,4750,243.2168,19.5298989802269,4750,2193,2557,4750,151,327,231,150,388,361,446,631,1033,686,278,68,4750,4345,9,129,67,0,21,179,1802,1453,1330,123,16,107,349,153,196,104125,1894,1802,1582,220,4728,237,292,529,4199
"06017031000","Census Tract 310, El Dorado County, California","Census Tract 310, El Dorado County, California","ca","140","00","ACSSF","0003376",,,,,"06","017",,,,"031000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017031000",,,"26947250","0",5812,5812,558.6102,10.4043918350201,5812,3007,2805,5812,290,351,381,167,417,592,768,854,805,583,492,112,5812,5227,0,14,292,0,74,205,2306,1424,1185,239,81,158,882,478,404,52500,2380,2306,1463,843,5663,1171,940,2111,3552
"06017031100","Census Tract 311, El Dorado County, California","Census Tract 311, El Dorado County, California","ca","140","00","ACSSF","0003377",,,,,"06","017",,,,"031100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017031100",,,"36853418","154214",4937,4937,346.963,14.2291840734397,4937,2264,2673,4937,214,283,124,247,190,560,539,824,733,935,243,45,4937,4420,23,0,28,0,279,187,2064,1534,1251,283,66,217,530,140,390,59482,2384,2064,1490,574,4910,538,954,1492,3418
"06017031200","Census Tract 312, El Dorado County, California","Census Tract 312, El Dorado County, California","ca","140","00","ACSSF","0003378",,,,,"06","017",,,,"031200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017031200",,,"20870879","5379",5154,5154,639.5896,8.05829216197141,5154,2461,2693,5154,291,257,174,112,364,731,533,676,775,665,340,236,5154,4842,63,59,25,0,98,67,1824,1067,824,243,68,175,757,263,494,55707,1968,1824,1327,497,4682,448,843,1291,3391
"06017031301","Census Tract 313.01, El Dorado County, California","Census Tract 313.01, El Dorado County, California","ca","140","00","ACSSF","0003379",,,,,"06","017",,,,"031301",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US06017031301",,,"46441354","595295",3651,3651,203.6126,17.931107016712,3651,1885,1766,3651,60,135,187,140,416,159,333,542,798,656,85,140,3651,3303,0,35,25,0,130,158,1292,978,867,111,43,68,314,128,186,76346,1511,1292,1003,289,3651,468,335,803,2848
