GEOID,Name of Area,Qualifying Name,State/U.S.-Abbreviation (USPS),Summary Level,Geographic Component,File Identification,Logical Record Number,US,Region,Division,State (Census Code),State (FIPS),County,County Subdivision (FIPS),Place (FIPS Code),Place (State FIPS + Place FIPS),Census Tract,Block Group,Consolidated City,American Indian Area/Alaska Native Area/Hawaiian Home Land (Census),American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS),American Indian Trust Land/Hawaiian Home Land Indicator,American Indian Tribal Subdivision (Census),American Indian Tribal Subdivision (FIPS),Alaska Native Regional Corporation (FIPS),Metropolitan and Micropolitan Statistical Area,Combined Statistical Area,Metropolitan Division,Metropolitan Area Central City,Metropolitan/Micropolitan Indicator Flag,New England City and Town Combined Statistical Area,New England City and Town Area,New England City and Town Area Division,Urban Area,Urban Area Central Place,Current Congressional District ***,State Legislative District Upper,State Legislative District Lower,Voting District,ZIP Code Tabulation Area (3-digit),ZIP Code Tabulation Area (5-digit),Subbarrio (FIPS),School District (Elementary),School District (Secondary),School District (Unified),Urban/Rural,Principal City Indicator,Traffic Analysis Zone,Urban Growth Area,Public Use Microdata Area - 5% File,Public Use Microdata Area - 1% File,Geographic Identifier,Tribal Tract,Tribal Block Group,Area (Land),Area (Water),Total Population,Total Population.1,Population Density (Per Sq. Mile),Area (Land).1,Total Population:,Total Population: Male,Total Population: Female,Total Population:.1,Total Population: Under 5 Years,Total Population: 5 to 9 Years,Total Population: 10 to 14 Years,Total Population: 15 to 17 Years,Total Population: 18 to 24 Years,Total Population: 25 to 34 Years,Total Population: 35 to 44 Years,Total Population: 45 to 54 Years,Total Population: 55 to 64 Years,Total Population: 65 to 74 Years,Total Population: 75 to 84 Years,Total Population: 85 Years and Over,Total Population:.2,Total Population: White Alone,Total Population: Black or African American Alone,Total Population: American Indian and Alaska Native Alone,Total Population: Asian Alone,Total Population: Native Hawaiian and Other Pacific Islander Alone,Total Population: Some Other Race Alone,Total Population: Two or More Races,Households:,Households: Family Households,Households: Family Households: Married-Couple Family,Households: Family Households: Other Family,"Households: Family Households: Other Family: Male Householder, No Wife Present","Households: Family Households: Other Family: Female Householder, No Husband Present",Households: Nonfamily Households,Households: Nonfamily Households: Male Householder,Households: Nonfamily Households: Female Householder,Median Household Income (In 2017 Inflation Adjusted Dollars),Housing Units,Occupied Housing Units:,Occupied Housing Units: Owner Occupied,Occupied Housing Units: Renter Occupied,Population for Whom Poverty Status Is Determined:,Population for Whom Poverty Status Is Determined: Under 1.00 (Doing Poorly),Population for Whom Poverty Status Is Determined: 1.00 to 1.99 (Struggling),Population for Whom Poverty Status Is Determined: Under 2.00 (Poor or Struggling),Population for Whom Poverty Status Is Determined: 2.00 and Over (Doing Ok)
32031000900,"Census Tract 9, Washoe County, Nevada","Census Tract 9, Washoe County, Nevada",nv,140,0,ACSSF,889,,,,,32,31,,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031000900,,,1197262,0,4604,4604,9959.646,0.462265462233802,4604,2495,2109,4604,432,332,292,239,310,598,687,802,494,271,77,70,4604,3484,181,1,132,0,702,104,1761,881,446,435,171,264,880,621,259,27420.0,2071,1761,236,1525,4590,1437,1869,3306,1284
32031001005,"Census Tract 10.05, Washoe County, Nevada","Census Tract 10.05, Washoe County, Nevada",nv,140,0,ACSSF,890,,,,,32,31,,,,1005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001005,,,2476147,4238,2797,2797,2925.592,0.956045742296876,2797,1159,1638,2797,136,98,151,45,224,372,297,386,290,470,248,80,2797,2276,66,17,244,0,42,152,1401,618,472,146,22,124,783,330,453,45878.0,1543,1401,663,738,2755,368,677,1045,1710
32031001008,"Census Tract 10.08, Washoe County, Nevada","Census Tract 10.08, Washoe County, Nevada",nv,140,0,ACSSF,891,,,,,32,31,,,,1008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001008,,,609866,0,4456,4456,18923.81,0.23547058905292198,4456,2445,2011,4456,454,233,384,143,668,678,560,502,433,269,100,32,4456,2402,281,57,233,129,865,489,1995,821,386,435,95,340,1174,767,407,27229.0,2186,1995,63,1932,4416,1293,1922,3215,1201
32031001009,"Census Tract 10.09, Washoe County, Nevada","Census Tract 10.09, Washoe County, Nevada",nv,140,0,ACSSF,892,,,,,32,31,,,,1009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001009,,,764258,80078,2920,2920,9895.565,0.295081676054098,2920,1506,1414,2920,148,256,101,57,309,681,224,373,333,236,100,102,2920,2168,57,17,201,118,307,52,1494,475,319,156,41,115,1019,490,529,31429.0,1652,1494,324,1170,2920,594,735,1329,1591
32031001010,"Census Tract 10.10, Washoe County, Nevada","Census Tract 10.10, Washoe County, Nevada",nv,140,0,ACSSF,893,,,,,32,31,,,,1010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001010,,,5602216,0,2873,2873,1328.231,2.1630277823681,2873,1397,1476,2873,111,107,153,150,121,303,370,341,638,260,205,114,2873,2682,21,39,50,42,21,18,1238,856,737,119,20,99,382,182,200,93125.0,1279,1238,996,242,2858,145,328,473,2385
32031001011,"Census Tract 10.11, Washoe County, Nevada","Census Tract 10.11, Washoe County, Nevada",nv,140,0,ACSSF,894,,,,,32,31,,,,1011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001011,,,7493424,0,3659,3659,1264.678,2.89322730452805,3659,1914,1745,3659,127,161,233,262,196,172,368,475,795,604,204,62,3659,3402,31,32,58,11,0,125,1370,1141,1033,108,37,71,229,149,80,125577.0,1462,1370,1254,116,3648,182,234,416,3232
32031001012,"Census Tract 10.12, Washoe County, Nevada","Census Tract 10.12, Washoe County, Nevada",nv,140,0,ACSSF,895,,,,,32,31,,,,1012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001012,,,10840525,0,3107,3107,742.3158,4.18555028054184,3107,1509,1598,3107,122,108,233,75,151,227,230,534,632,438,222,135,3107,2688,4,42,149,13,8,203,1263,813,749,64,7,57,450,224,226,85117.0,1365,1263,1008,255,2945,201,129,330,2615
32031001013,"Census Tract 10.13, Washoe County, Nevada","Census Tract 10.13, Washoe County, Nevada",nv,140,0,ACSSF,896,,,,,32,31,,,,1013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001013,,,39582641,0,6235,6235,407.9712,15.282943395876698,6235,2936,3299,6235,69,245,529,290,231,181,740,1006,1202,1179,452,111,6235,5750,0,17,275,10,30,153,2659,2165,2007,158,17,141,494,272,222,135327.0,2678,2659,2432,227,6235,343,302,645,5590
32031001014,"Census Tract 10.14, Washoe County, Nevada","Census Tract 10.14, Washoe County, Nevada",nv,140,0,ACSSF,897,,,,,32,31,,,,1014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001014,,,7564263,163229,2323,2323,795.3904,2.92057839650222,2323,1117,1206,2323,112,44,146,96,47,266,311,317,348,342,247,47,2323,2118,0,0,86,0,11,108,1160,634,511,123,61,62,526,213,313,77195.0,1350,1160,668,492,2323,122,236,358,1965
32031001015,"Census Tract 10.15, Washoe County, Nevada","Census Tract 10.15, Washoe County, Nevada",nv,140,0,ACSSF,898,,,,,32,31,,,,1015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14000US32031001015,,,5180029,6688,4502,4502,2250.9770000000003,2.0000204634152703,4502,2147,2355,4502,112,127,359,86,70,541,527,634,754,776,328,188,4502,4173,79,2,101,0,19,128,2090,1232,1045,187,43,144,858,335,523,94063.0,2269,2090,1469,621,4345,181,165,346,3999
