"FIPS","Name of Area","Qualifying Name","State/U.S.-Abbreviation (USPS)","Summary Level","Geographic Component","File Identification","Logical Record Number","US","Region","Division","State (Census Code)","State (FIPS)","County","County Subdivision (FIPS)","Place (FIPS Code)","Place (State FIPS + Place FIPS)","Census Tract","Block Group","Consolidated City","American Indian Area/Alaska Native Area/Hawaiian Home Land (Census)","American Indian Area/Alaska Native Area/Hawaiian Home Land (FIPS)","American Indian Trust Land/Hawaiian Home Land Indicator","American Indian Tribal Subdivision (Census)","American Indian Tribal Subdivision (FIPS)","Alaska Native Regional Corporation (FIPS)","Metropolitan and Micropolitan Statistical Area","Combined Statistical Area","Metropolitan Division","Metropolitan Area Central City","Metropolitan/Micropolitan Indicator Flag","New England City and Town Combined Statistical Area","New England City and Town Area","New England City and Town Area Division","Urban Area","Urban Area Central Place","Current Congressional District ***","State Legislative District Upper","State Legislative District Lower","Voting District","ZIP Code Tabulation Area (3-digit)","ZIP Code Tabulation Area (5-digit)","Subbarrio (FIPS)","School District (Elementary)","School District (Secondary)","School District (Unified)","Urban/Rural","Principal City Indicator","Traffic Analysis Zone","Urban Growth Area","Public Use Microdata Area - 5% File","Public Use Microdata Area - 1% File","Geographic Identifier","Tribal Tract","Tribal Block Group","Area (Land)","Area (Water)","Total Population","Total Population","Population Density (Per Sq. Mile)","Area (Land)","Total Population:","Total Population: Male","Total Population: Female","Total Population:","Total Population: Under 5 Years","Total Population: 5 to 9 Years","Total Population: 10 to 14 Years","Total Population: 15 to 17 Years","Total Population: 18 to 24 Years","Total Population: 25 to 34 Years","Total Population: 35 to 44 Years","Total Population: 45 to 54 Years","Total Population: 55 to 64 Years","Total Population: 65 to 74 Years","Total Population: 75 to 84 Years","Total Population: 85 Years and Over","Total Population:","Total Population: White Alone","Total Population: Black or African American Alone","Total Population: American Indian and Alaska Native Alone","Total Population: Asian Alone","Total Population: Native Hawaiian and Other Pacific Islander Alone","Total Population: Some Other Race Alone","Total Population: Two or More Races","Households:","Households: Family Households","Households: Family Households: Married-Couple Family","Households: Family Households: Other Family","Households: Family Households: Other Family: Male Householder, No Wife Present","Households: Family Households: Other Family: Female Householder, No Husband Present","Households: Nonfamily Households","Households: Nonfamily Households: Male Householder","Households: Nonfamily Households: Female Householder","Median Household Income (In 2017 Inflation Adjusted Dollars)","Housing Units","Occupied Housing Units:","Occupied Housing Units: Owner Occupied","Occupied Housing Units: Renter Occupied","Population for Whom Poverty Status Is Determined:","Population for Whom Poverty Status Is Determined: Under 1.00 (Doing Poorly)","Population for Whom Poverty Status Is Determined: 1.00 to 1.99 (Struggling)","Population for Whom Poverty Status Is Determined: Under 2.00 (Poor or Struggling)","Population for Whom Poverty Status Is Determined: 2.00 and Over (Doing Ok)"
"08013012707","Census Tract 127.07, Boulder County, Colorado","Census Tract 127.07, Boulder County, Colorado","co","140","00","ACSSF","0001353",,,,,"08","013",,,,"012707",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012707",,,"30450257","4297152",2536,2536,215.7029,11.7569100706258,2536,1504,1032,2536,102,148,185,86,275,319,406,378,334,189,100,14,2536,2259,30,14,66,0,105,62,686,479,372,107,19,88,207,115,92,93864,734,686,629,57,1861,336,334,670,1191
"08013012708","Census Tract 127.08, Boulder County, Colorado","Census Tract 127.08, Boulder County, Colorado","co","140","00","ACSSF","0001354",,,,,"08","013",,,,"012708",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012708",,,"5629039","25142",5126,5126,2358.534,2.17338420100788,5126,2569,2557,5126,153,216,320,280,278,682,543,861,805,738,210,40,5126,5075,0,0,51,0,0,0,2268,1418,1221,197,111,86,850,364,486,108014,2319,2268,1801,467,5126,287,445,732,4394
"08013012709","Census Tract 127.09, Boulder County, Colorado","Census Tract 127.09, Boulder County, Colorado","co","140","00","ACSSF","0001355",,,,,"08","013",,,,"012709",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012709",,,"9706910","154534",1928,1928,514.427,3.74785906343968,1928,937,991,1928,102,126,125,93,89,242,199,308,293,269,75,7,1928,1823,0,0,0,0,6,99,689,543,466,77,27,50,146,80,66,103603,696,689,663,26,1928,96,136,232,1696
"08013012710","Census Tract 127.10, Boulder County, Colorado","Census Tract 127.10, Boulder County, Colorado","co","140","00","ACSSF","0001356",,,,,"08","013",,,,"012710",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012710",,,"19229553","1126342",3422,3422,460.902,7.42457185129815,3422,1618,1804,3422,111,102,225,206,125,257,296,644,665,511,222,58,3422,3109,86,25,72,0,54,76,1531,1076,849,227,32,195,455,208,247,102344,1531,1531,1201,330,3422,198,251,449,2973
"08013012800","Census Tract 128, Boulder County, Colorado","Census Tract 128, Boulder County, Colorado","co","140","00","ACSSF","0001357",,,,,"08","013",,,,"012800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012800",,,"39297013","1465017",12041,12041,793.5984,15.1726618038385,12041,6162,5879,12041,1021,1028,757,634,791,950,2005,2151,1495,785,302,122,12041,11084,89,0,585,0,86,197,3977,3393,3018,375,188,187,584,206,378,117180,4083,3977,3621,356,12014,514,410,924,11090
"08013012903","Census Tract 129.03, Boulder County, Colorado","Census Tract 129.03, Boulder County, Colorado","co","140","00","ACSSF","0001358",,,,,"08","013",,,,"012903",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012903",,,"3884919","9020",2529,2529,1686.027,1.49997567556298,2529,1254,1275,2529,173,161,201,90,91,213,356,387,440,304,74,39,2529,2329,10,21,101,0,25,43,989,793,701,92,24,68,196,61,135,131806,1034,989,860,129,2529,126,224,350,2179
"08013012904","Census Tract 129.04, Boulder County, Colorado","Census Tract 129.04, Boulder County, Colorado","co","140","00","ACSSF","0001359",,,,,"08","013",,,,"012904",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012904",,,"3147489","264957",5663,5663,4659.938,1.21525234865953,5663,2733,2930,5663,356,329,273,144,312,746,703,705,986,374,376,359,5663,5117,21,0,311,0,17,197,2449,1464,1326,138,25,113,985,370,615,91827,2515,2449,1848,601,5592,228,190,418,5174
"08013012905","Census Tract 129.05, Boulder County, Colorado","Census Tract 129.05, Boulder County, Colorado","co","140","00","ACSSF","0001360",,,,,"08","013",,,,"012905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012905",,,"1331231","0",2714,2714,5280.246,0.513991184515141,2714,1262,1452,2714,137,250,94,67,142,464,321,318,390,305,148,78,2714,2397,27,5,131,18,77,59,1288,657,504,153,42,111,631,292,339,56779,1300,1288,770,518,2702,394,377,771,1931
"08013012907","Census Tract 129.07, Boulder County, Colorado","Census Tract 129.07, Boulder County, Colorado","co","140","00","ACSSF","0001361",,,,,"08","013",,,,"012907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013012907",,,"6477266","59196",3516,3516,1405.901,2.50088649059378,3516,1729,1787,3516,186,271,250,201,166,530,488,424,556,324,120,0,3516,2777,81,29,195,0,276,158,1424,940,764,176,21,155,484,197,287,77500,1459,1424,1013,411,3494,324,381,705,2789
"08013013003","Census Tract 130.03, Boulder County, Colorado","Census Tract 130.03, Boulder County, Colorado","co","140","00","ACSSF","0001362",,,,,"08","013",,,,"013003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14000US08013013003",,,"12257574","74587",6267,6267,1324.198,4.73267598151034,6267,3237,3030,6267,262,468,420,414,299,456,1128,933,977,536,292,82,6267,6020,0,0,203,0,0,44,2480,1701,1472,229,105,124,779,430,349,97286,2587,2480,2063,417,6267,261,352,613,5654
